country,date,population,gdp_pc_pps,COAL,GAS,OIL,fossil_share,energy_per_capita_gwh,energy_per_capita_mwh
HU,2018-01-01,9713655,21872.8,24811.681,96224.25,93782.519,69.16818119255157,0.03197293819885512,31.97293819885512
HU,2019-01-01,9700272,23168.8,21274.78,98439.998,95116.218,69.16983462858074,0.03201815423320088,32.01815423320088
HU,2020-01-01,9689376,22729.6,19573.342,101929.751,86740.7,68.50066183644483,0.031374837760450205,31.374837760450205
HU,2021-01-01,9651461,24803.3,15955.196,108104,94139.066,68.53453426309409,0.032987451226296205,32.9874512262962
HU,2022-01-01,9610403,27586.9,14444.035,91909.751,93813.345,66.761560472534,0.031197851432452937,31.197851432452936
HU,2023-01-01,9599744,29430.5,10433.083,82148.25,91197.005,65.0359298274302,0.029436170797887948,29.436170797887947
HU,2024-01-01,9584627,30416,NA,NA,NA,NA,NA,NA
IE,2018-01-01,4855733,58653.7,9167.942,52190.81,85936.709,84.9643639651187,0.03570242824306855,35.70242824306855
IE,2019-01-01,4940311,59964.2,4507.588,53033.98,86302.135,82.54921564683083,0.03527147440717801,35.27147440717801
IE,2020-01-01,5012600,62458.7,5021.739,53104.13,72476.307,81.5234168149383,0.031959868930295655,31.959868930295656
IE,2021-01-01,5066893,74710.7,10609.177,50816.665,78138.916,84.0748986387132,0.03276179445668184,32.76179445668184
IE,2022-01-01,5154277,85489.3,8457.223,51861.279,83055.604,84.11713794744561,0.03306880344226746,33.06880344226746
IE,2023-01-01,5271395,83557.7,5080.604,48140.573,82675.378,81.23730735771434,0.03173418630172848,31.73418630172848
IE,2024-01-01,5351681,88284.9,NA,NA,NA,NA,NA,NA
IT,2018-01-01,59937769,29551.8,99298.817,692140.822,636727.887,78.2219236316071,0.030461416039692768,30.461416039692768
IT,2019-01-01,59816673,30344.7,75366.699,708837.576,628359.847,78.14229429849664,0.03022036874234045,30.22036874234045
IT,2020-01-01,59641488,28383.9,59249.607,677864.094,522320.927,76.47979551752317,0.027610892286926172,27.610892286926173
IT,2021-01-01,59236213,31780.1,64403.831,726066.08,593016.209,77.21376813578527,0.030247728986321255,30.247728986321256
IT,2022-01-01,59030133,35255.9,86184.514,652488.827,599296.37,77.69894369146806,0.02917140894803676,29.17140894803676
IT,2023-01-01,58997201,37562.1,56014.673,585332.272,607339.326,75.52366824169933,0.028024563250042996,28.024563250042995
